ic_short_name;ic_sp;ic_pt;field;length;comentarios;repeticiones
ATDWZL;20026;40026;Transcript Department;4;;1
ATDWZL;20026;40026;Transcript Ticket;15;;1
ATDWZL;20026;40026;Transcript Reference number;24;;1
ATDWZL;20026;40026;Transcript Reversal Date;8;;1
ATDWZL;20026;40026;Transcript Reversal Time;6;;1
ATDWZL;20026;40026;Transcript Letter Id;3;;1
ATDWZL;20026;40026;Transcript Letter Org;3;;1
ATDWZL;20026;40026;Transcript Card number;16;;1
ATDWZL;20026;40026;Transcript Card Sequence number;5;;1
ATDWZL;20026;40026;Transcript Purchase Order number;16;;1
ATDWZL;20026;40026;Transcript R Reference number;15;;1
ATDWZL;20026;40026;Filler;62;;34
ATDWZL;20026;40026; Effective Date;8;;1
ATDWZL;20026;40026; Amount;11;;1
ATDWZL;20026;40026; Plan number;5;;1
ATDWZL;20026;40026; Plan Sequence number;2;;1
ATDWZL;20026;40026;Department number;4;;1
ATDWZL;20026;40026;Authorization number;6;;1
ATDWZL;20026;40026;Store number;9;;2
ATDWZL;20026;40026;SKU number;9;;2
ATDWZL;20026;40026;Clerk;12;;1
ATDWZL;20026;40026;Approval decline;1;;1
ATDWZL;20026;40026;Letter id;3;;1
ATDWZL;20026;40026;Letter org;3;;1
ATDWZL;20026;40026;Monetary type;1;;1
ATDWZL;20026;40026;Points program;1;;1
ATDWZL;20026;40026;Points amount;9;;1
ATDWZL;20026;40026;Card number;16;;5
ATDWZL;20026;40026;Card Sequence number;5;;4
ATDWZL;20026;40026;Purchase Order number;16;;1
ATDWZL;20026;40026;R Reference number;15;;1
ATDWZL;20026;40026;Ticket number;15;;1
ATDWZL;20026;40026;Insurance;2;;2
ATDWZL;20026;40026;Filler;52;;34
ATDWZL;20026;40026;Non Mon Reversal Date;8;;1
ATDWZL;20026;40026; Non Mon Reversal Time;6;;1
ATDWZL;20026;40026;Non Mon Letter Id;3;;1
ATDWZL;20026;40026;Non Mon Letter Org;3;;1
ATDWZL;20026;40026;Non Mon Card number;16;;1
ATDWZL;20026;40026;Non Mon Card Sequence number;5;;1
ATDWZL;20026;40026;Filler;164;;34
ATDWZL;20026;40026;Memo Line 1;60;;1
ATDWZL;20026;40026;Memo Line 2;60;;1
ATDWZL;20026;40026;Memo Line 3;60;;1
ATDWZL;20026;40026;Memo Line 4;60;;1
ATDWZL;20026;40026;Memo Line 5;60;;1
ATDWZL;20026;40026;Filler;80;;34
ATDWZL;20026;40026;End of Detail record indicator;1;;1
L2AX;20169;40169;Account Organization;3;;1
L2AX;20169;40169;Account Number;19;;9
L2AX;20169;40169;Customer Organization;3;;1
L2AX;20169;40169;Customer Card Number;19;;1
L2AX;20169;40169;Customer Card Sequence Number;4;;1
L2AX;20169;40169;Status of the card;1;;1
L2AX;20169;40169;Number of cards;3;;1
L2AX;20169;40169;Block Code;1;;3
L2AX;20169;40169;Date Block Code;8;;1
L2AX;20169;40169;Cardholder type;1;;1
L2AX;20169;40169;Date opened;8;;1
L2AX;20169;40169;Filler;30;;34
L24LUP;20160;40160;Organisation;3;;6
L24LUP;20160;40160;Account Number;19;;9
L24LUP;20160;40160;Plan Date;8;;2
L24LUP;20160;40160;Original Plan Number;5;;1
L24LUP;20160;40160;Multi Scheme Card Logo;3;;2
L24LUP;20160;40160;Promo Reference Number;6;;2
L24LUP;20160;40160;Plan Date Original;8;;2
L24LUP;20160;40160;Filler;9;;34
L24LUP;20160;40160;Plan Number;5;;4
L24LUP;20160;40160;Logo;3;;9
L24LUP;20160;40160;Date Last Maintenance;8;;2
L24LUP;20160;40160;Date Added;8;;4
L24LUP;20160;40160;Due Date;8;;1
L24LUP;20160;40160;Date Payment Requested;8;;1
L24LUP;20160;40160;Payment Amount Requested - sign;1;;2
L24LUP;20160;40160;Payment Amount Requested;17;;2
L24LUP;20160;40160;Payment Amount Fixed - sign;1;;2
L24LUP;20160;40160;Payment Amount Fixed;17;;2
L24LUP;20160;40160;Current Balance Indicator;1;;2
L24LUP;20160;40160;Current Balance - sign;1;;2
L24LUP;20160;40160;Current Balance;17;;4
L24LUP;20160;40160;Total Due - sign;1;;2
L24LUP;20160;40160;Total Due;17;;2
L24LUP;20160;40160;Principal - sign;1;;1
L24LUP;20160;40160;Principal;17;;1
L24LUP;20160;40160;Interest - sign;1;;1
L24LUP;20160;40160;Interest;17;;1
L24LUP;20160;40160;Insurance - sign;1;;1
L24LUP;20160;40160;Insurance;17;;2
L24LUP;20160;40160;Insufficient Funds Fees - sign;1;;1
L24LUP;20160;40160;Insufficient Funds Fees;17;;1
L24LUP;20160;40160;Service Charges - sign;1;;1
L24LUP;20160;40160;Service Charges;17;;1
L24LUP;20160;40160;Late Charges - sign;1;;1
L24LUP;20160;40160;Late Charges;17;;1
L24LUP;20160;40160;Annual Fees - sign;1;;1
L24LUP;20160;40160;Annual Fees;17;;1
L24LUP;20160;40160;Over limit Fees - sign;1;;1
L24LUP;20160;40160;Over limit Fees;17;;1
L24LUP;20160;40160;Recovery Fees - sign;1;;1
L24LUP;20160;40160;Recovery Fees;17;;1
L24LUP;20160;40160;Collection Fees - sign;1;;1
L24LUP;20160;40160;Collection Fees;17;;1
L24LUP;20160;40160;User 1 Fees - sign;1;;1
L24LUP;20160;40160;User 1 Fees;17;;1
L24LUP;20160;40160;User 2 Fees - sign;1;;1
L24LUP;20160;40160;User 2 Fees;17;;1
L24LUP;20160;40160;User 3 Fees - sign;1;;1
L24LUP;20160;40160;User 3 Fees;17;;1
L24LUP;20160;40160;User 4 Fees - sign;1;;1
L24LUP;20160;40160;User 4 Fees;17;;1
L24LUP;20160;40160;User 5 Fees - sign;1;;1
L24LUP;20160;40160;User 5 Fees;17;;1
L24LUP;20160;40160;User 6 Fees - sign;1;;1
L24LUP;20160;40160;User 6 Fees;17;;1
L24LUP;20160;40160;Plan Reference Number;23;;2
L24LUP;20160;40160;Filler;149;;34
L2BX;20184;40184;Customer Organisation;3;;3
L2BX;20184;40184;Customer Number;19;;5
L2BX;20184;40184;Account Organisation;3;;1
L2BX;20184;40184;Account Number;19;;9
L2BX;20184;40184;Association Type ;1;;1
L2BX;20184;40184;Filler;43;;34
L2EDUP;20187;;Organization;3;;7
L2EDUP;20187;;Card Number;19;;5
L2EDUP;20187;;Card Sequence Number;4;;4
L2EDUP;20187;;Organization;3;;7
L2EDUP;20187;;Post to Account;19;;2
L2EDUP;20187;;Status;1;;5
L2EDUP;20187;;Logo;3;;9
L2EDUP;20187;;Source;1;;4
L2EDUP;20187;;Block Code;1;;3
L2EDUP;20187;;Warning Code 1;1;;4
L2EDUP;20187;;Warning Code 7;1;;4
L2EDUP;20187;;Reissue attempts -– sign;1;;2
L2EDUP;20187;;Reissue attempts;3;;2
L2EDUP;20187;;Date Opened ;8;;3
L2EDUP;20187;;Status Date;8;;2
L2EDUP;20187;;Status update: security identification;3;;2
L2EDUP;20187;;Date last maintained;8;;5
L2EDUP;20187;;Last Maintenance: security identification;3;;2
L2EDUP;20187;;Block Code Date;8;;2
L2EDUP;20187;;Block Code Update: security identification;3;;2
L2EDUP;20187;;Expiry Date;8;;2
L2EDUP;20187;;Date of last plastic issue;8;;2
L2EDUP;20187;;Date of last plastic expiry;8;;2
L2EDUP;20187;;Date for first card verification.;8;;2
L2EDUP;20187;;Current first usage flag;1;;2
L2EDUP;20187;;Embossed name 1;26;;2
L2EDUP;20187;;Embossed name 2;26;;2
L2EDUP;20187;;User Information 1;20;;2
L2EDUP;20187;;User Information 2;20;;2
L2EDUP;20187;;User Information 3;19;;2
L2EDUP;20187;;User Information 4;4;;2
L2EDUP;20187;;User Information 5;1;;2
L2EDUP;20187;;User Information 6;1;;2
L2EDUP;20187;;User Information 7;1;;2
L2EDUP;20187;;User Information 8;1;;2
L2EDUP;20187;;User Date 1;8;;4
L2EDUP;20187;;User Date 2;8;;4
L2EDUP;20187;;Type of card;2;;2
L2EDUP;20187;;Cardholder flag;1;;2
L2EDUP;20187;;Number Requested -– sign;1;;2
L2EDUP;20187;;Number Requested;3;;2
L2EDUP;20187;;Number of cards outstanding -– sign;1;;2
L2EDUP;20187;;Number of cards outstanding;3;;2
L2EDUP;20187;;PIN Offset -– sign;1;;2
L2EDUP;20187;;PIN Offset;7;;2
L2EDUP;20187;;Last card action;1;;2
L2EDUP;20187;;Card action;1;;2
L2EDUP;20187;;Number of invalid PIN tries;2;;2
L2EDUP;20187;;Customer Number;19;;5
L2EDUP;20187;;Authorisations ATM OTC and retail frequency;1;;2
L2EDUP;20187;;Authorisation ATM cash amount -– sign;1;;2
L2EDUP;20187;;Authorisation ATM cash amount;17;;2
L2EDUP;20187;;Authorisation ATM cash number -– sign;1;;2
L2EDUP;20187;;Authorisation ATM cash number;9;;2
L2EDUP;20187;;Authorisation ATM cash single transaction amount -– sign;1;;2
L2EDUP;20187;;Authorisation ATM cash single transaction amount;17;;2
L2EDUP;20187;;Authorisation OTC cash amount -– sign;1;;2
L2EDUP;20187;;Authorisation OTC cash amount;17;;2
L2EDUP;20187;;Authorisation OTC cash number -– sign;1;;2
L2EDUP;20187;;Authorisation OTC cash number;9;;2
L2EDUP;20187;;Authorisation OTC cash single transaction amount -– sign;1;;2
L2EDUP;20187;;Authorisation OTC cash single transaction amount;17;;2
L2EDUP;20187;;Authorisation retail amount -– sign;1;;2
L2EDUP;20187;;Authorisation retail amount;17;;2
L2EDUP;20187;;Authorisation retail number -– sign;1;;2
L2EDUP;20187;;Authorisation retail number;9;;2
L2EDUP;20187;;Authorisation retail single transaction amount -– sign;1;;2
L2EDUP;20187;;Authorisation retail single transaction amount;17;;2
L2EDUP;20187;;Accumulated amount of cash transactions today -– sign;1;;2
L2EDUP;20187;;Accumulated amount of cash transactions today;17;;2
L2EDUP;20187;;Accumulated number of cash transactions today -– sign;1;;2
L2EDUP;20187;;Accumulated number of cash transactions today;9;;2
L2EDUP;20187;;Date of last authorisation;8;;2
L2EDUP;20187;;Next expiration date;8;;2
L2EDUP;20187;;Warning code 1 date;8;;2
L2EDUP;20187;;Card Technology;1;;4
L2EDUP;20187;;Last CHIP sequence number used;2;;2
L2EDUP;20187;;Current CHIP sequence number;2;;2
L2EDUP;20187;;Previous CHIP sequence number;2;;2
L2EDUP;20187;;Administration Branch;9;;2
L2EDUP;20187;;First Issue Branch;9;;2
L2EDUP;20187;;Issue Delivery Option;1;;2
L2EDUP;20187;;Reissue Delivery Option;1;;2
L2EDUP;20187;;Current card from date;8;;2
L2EDUP;20187;;Current card mail date;8;;2
L2EDUP;20187;;Transferred account;19;;2
L2EDUP;20187;;Transferred Card Number;19;;2
L2EDUP;20187;;Effective date of transfer;8;;2
L2EDUP;20187;;Name 1 Type indicator;1;;2
L2EDUP;20187;;Name 2 Type indicator;1;;2
L2EDUP;20187;;MCC Table Override -– sign;1;;2
L2EDUP;20187;;MCC Table Override ;3;;2
L2EDUP;20187;;MCC Override start date;8;;2
L2EDUP;20187;;MCC Override expiry date;8;;2
L2EDUP;20187;;Cardholder type.;1;;2
L2EDUP;20187;;Gender code;1;;2
L2EDUP;20187;;Card action reason;1;;2
L2EDUP;20187;;Card activated date;8;;2
L2EDUP;20187;;Account logo;3;;2
L2EDUP;20187;;Card set identification;19;;2
L2EDUP;20187;;New account  scheme report flag;1;;2
L2EDUP;20187;;PIN alignment;1;;2
L2EDUP;20187;;Card statistics level;1;;2
L2EDUP;20187;;Refer anti-refer flag;1;;2
L2EDUP;20187;;Refer anti-refer expiry date;8;;2
L2EDUP;20187;;Membership fee occurrence;1;;2
L2EDUP;20187;;Single cash limit -– sign;1;;2
L2EDUP;20187;;Single cash limit;17;;2
L2EDUP;20187;;Cash limit modification date;8;;2
L2EDUP;20187;;Replace lost or stolen flag;1;;2
L2EDUP;20187;;Replacement  fee flag;1;;2
L2EDUP;20187;;Old card number;19;;2
L2EDUP;20187;;New card number;19;;2
L2EDUP;20187;;PIN assignment  date;8;;2
L2EDUP;20187;;PIN change  date;8;;2
L2EDUP;20187;;Time of last plastic issue;4;;2
L2EDUP;20187;;Disability Indicator;1;;4
L2EDUP;20187;;Authorisation Quasi Cash Amount -– sign;1;;2
L2EDUP;20187;;Authorisation Quasi Cash Amount;17;;2
L2EDUP;20187;;Authorisation Quasi Cash Number -– sign;1;;2
L2EDUP;20187;;Authorisation Quasi Cash Number;9;;2
L2EDUP;20187;;Authorisation Quasi Cash Single Transaction Amount -– sign;1;;2
L2EDUP;20187;;Authorisation Quasi Cash Single Transaction Amount;17;;2
L2EDUP;20187;;Authorisation Total Transaction Amount -– sign;1;;2
L2EDUP;20187;;Authorisation Total Transaction Amount;17;;2
L2EDUP;20187;;Authorisation Total Transaction Number -– sign;1;;2
L2EDUP;20187;;Authorisation Total Transaction Number;9;;2
L2EDUP;20187;;Authorisation at ATM: Daily Amount -– sign;1;;2
L2EDUP;20187;;Authorisation at ATM: Daily Amount;17;;2
L2EDUP;20187;;Accumulated quasi-authorisation amount today -– sign;1;;2
L2EDUP;20187;;Accumulated quasi-authorisation amount today;17;;2
L2EDUP;20187;;Accumulated quasi-authorisation number today -– sign;1;;2
L2EDUP;20187;;Accumulated quasi-authorisation number today;9;;2
L2EDUP;20187;;Accumulated quasi-authorisation amount, cycle to date -– sign;1;;2
L2EDUP;20187;;Accumulated quasi-authorisation amount, cycle to date;17;;2
L2EDUP;20187;;Accumulated quasi-authorisation number, cycle to date -– sign;1;;2
L2EDUP;20187;;Accumulated quasi-authorisation number, cycle to date;9;;2
L2EDUP;20187;;Accumulated quasi-authorisation amount, year to date -– sign;1;;2
L2EDUP;20187;;Accumulated quasi-authorisation amount, year to date;17;;2
L2EDUP;20187;;Accumulated quasi-authorisation number, year to date -– sign;1;;2
L2EDUP;20187;;Accumulated quasi-authorisation number, year to date;9;;2
L2EDUP;20187;;Accumulated quasi-authorisation amount, life to date -– sign;1;;2
L2EDUP;20187;;Accumulated quasi-authorisation amount, life to date;17;;2
L2EDUP;20187;;Accumulated quasi-authorisation number, life to date -– sign;1;;2
L2EDUP;20187;;Accumulated quasi-authorisation number, life to date;9;;2
L2EDUP;20187;;Emblem Identification;5;;2
L2EDUP;20187;;Emergency Card;1;;2
L2EDUP;20187;;Emergency Card Number;19;;2
L2EDUP;20187;;Emergency Card Limit;9;;2
L2EDUP;20187;;Last Despatch Delivery Option;10;;2
L2EDUP;20187;;Last Despatch Delivery Date;8;;2
L2EDUP;20187;;Email Notification sent Card;1;;2
L2EDUP;20187;;SMS Outcome;1;;2
L2EDUP;20187;;Offer Code Override;10;;2
L2EDUP;20187;;2FA indicator;1;;2
L2EDUP;20187;;Application transaction counter -– sign;1;;2
L2EDUP;20187;;Application transaction counter;5;;2
L2EDUP;20187;;Converted;1;;2
L2EDUP;20187;;Converted Card Number;19;;2
L2EDUP;20187;;Waive-Card-Fee;1;;2
L2EDUP;20187;;Addr-Line-1;40;;2
L2EDUP;20187;;Addr-Line-2;40;;2
L2EDUP;20187;;City;30;;2
L2EDUP;20187;;Embr-Name-1;40;;2
L2EDUP;20187;;Pstl-Cd;10;;2
L2EDUP;20187;;Prior-First-Usage-Flag;1;;2
L2EDUP;20187;;Crd-Lmt-Prof;3;;2
L2EDUP;20187;;Type-of-Loss;1;;2
L2EDUP;20187;;Loss-date;8;;2
L2EDUP;20187;;Country-of-loss;3;;2
L2EDUP;20187;;Location-of-loss;1;;2
L2EDUP;20187;;FRAUD-MONITOR-FLAG;2;;2
L2EDUP;20187;;FRAUD-MONITOR-EXP-DTE;8;;2
L2EDUP;20187;;FRAUD-DATE-LAST-MAINT;8;;2
L2EDUP;20187;;Post-Code-Restriction;1;;2
L2EDUP;20187;;Date-Last-Contactless-Txn;8;;2
L2EDUP;20187;;Mobile Device ID;20;;2
L2EDUP;20187;;Mobile Provision Status;1;;2
L2EDUP;20187;;Mobile PI Report Ind;1;;2
L2EDUP;20187;;Pin Comm Pref;1;;2
L2EDUP;20187;;Pin Comm Pref Overrride;1;;2
L2EDUP;20187;;Mobile Number;20;;2
L2EDUP;20187;;Memorable Word;20;;2
L2EDUP;20187;;ATM PIN IND;1;;2
L2EDUP;20187;;Pin Verify Method;1;;2
L2EDUP;20187;;Card Serial Number;10;;2
L2EDUP;20187;;Plastic ID;10;;2
L2EDUP;20187;;User information 9;19;;2
L2EDUP;20187;;User information 10;20;;2
L2EDUP;20187;;Inst Iss Emboss Status;1;;2
L2EDUP;20187;;Inst Iss Branch Id;9;;2
L2EDUP;20187;;Inst Iss Emboss Status Date;8;;2
L2EDUP;20187;;Ecomm Restrict Ind;1;;2
L2EDUP;20187;;RSN-BLOCK-CODE;2;;2
L2EDUP;20187;;Filler;26;;34
L2EDUP;20187;;COD-DIGITAL-CARD-IND;1;;2
L2EDUP;20187;;Filler;65;;34
L2EDUP;20187;;ADDITIONAL FREQ;1;;2
L2EDUP;20187;;ADDITIONAL TOT TXN AMT Sign;1;;2
L2EDUP;20187;;ADDITIONAL TOT TXN AMT;17;;2
L2EDUP;20187;;ADDITIONAL TOT TXN NBR Sign;1;;2
L2EDUP;20187;;ADDITIONAL TOT TXN NBR;9;;2
L2EDUP;20187;;Filler (layout SP tamaño 350 pos 1514-1863);105;;1
L2EDUP;20187;;SCA-ACCUM-TXN-NBR;5;;1
L2EDUP;20187;;SCA-ACCUM-TXN-AMT-SIGN;1;;1
L2EDUP;20187;;SCA-ACCUM-TXN-AMT;17;;1
L2EDUP;20187;;Filler;222;;34
L2EDUP;20187;;Previous PLASTIC-ID;10;;1
L2EDUP;20187;;Imagre Card Fee Waive Indicator;1;;1
L2EDUP;20187;;CTLS;1;;1
L2EDUP;20187;;RTL PURCH NBR INT SIGN;1;;1
L2EDUP;20187;;RTL PURCH NBR INT;9;;1
L2EDUP;20187;;RTL PURCH AMT INT SIGN;1;;1
L2EDUP;20187;;RTL PURCH AMT INT;17;;1
L2EDUP;20187;;ATM CASH AMT INT SIGN;1;;1
L2EDUP;20187;;ATM CASH AMT INT;17;;1
L2EDUP;20187;;ATM CASH NBR INT SIGN;1;;1
L2EDUP;20187;;ATM CASH NBR INT;9;;1
L2EDUP;20187;;ECOM AMT INT SIGN;1;;1
L2EDUP;20187;;ECOM AMT INT;17;;1
L2EDUP;20187;;ECOM NBR INT SIGN;1;;1
L2EDUP;20187;;ECOM NBR INT;9;;1
L2EDUP;20187;;MOTO AMT INT SIGN;1;;1
L2EDUP;20187;;MOTO AMT INT;17;;1
L2EDUP;20187;;MOTO NBR INT SIGN;1;;1
L2EDUP;20187;;MOTO NBR INT;9;;1
L2EDUP;20187;;CNTLS AMT SIGN;1;;1
L2EDUP;20187;;CNTLS AMT;17;;1
L2EDUP;20187;;CNTLS NBR SIGN;1;;1
L2EDUP;20187;;CNTLS NBR;9;;1
L2EDUP;20187;;CNTLS AMT INT SIGN;1;;1
L2EDUP;20187;;CNTLS AMT INT;17;;1
L2EDUP;20187;;CNTLS NBR INT SIGN;1;;1
L2EDUP;20187;;CNTLS NBR INT;9;;1
L2EDUP;20187;;Daily Domestic Contactless AMT SIGN;1;;1
L2EDUP;20187;;Daily Domestic Contactless AMT;17;;1
L2EDUP;20187;;Daily Domestic Contactless NBR SIGN;1;;1
L2EDUP;20187;;Daily Domestic Contactless NBR;9;;1
L2EDUP;20187;;CTD Domestic Contactless AMT SIGN;1;;1
L2EDUP;20187;;CTD Domestic Contactless AMT;17;;1
L2EDUP;20187;;CTD Domestic Contactless NBR SIGN;1;;1
L2EDUP;20187;;CTD Domestic Contactless NBR;9;;1
L2EDUP;20187;;Daily Domestic POS AMT SIGN;1;;1
L2EDUP;20187;;Daily Domestic POS AMT;17;;1
L2EDUP;20187;;Daily Domestic POS NBR SIGN;1;;1
L2EDUP;20187;;Daily Domestic POS NBR;9;;1
L2EDUP;20187;;CTD Domestic POS AMT SIGN;1;;1
L2EDUP;20187;;CTD Domestic POS AMT;17;;1
L2EDUP;20187;;CTD Domestic POS NBR SIGN;1;;1
L2EDUP;20187;;CTD Domestic POS NBR;9;;1
L2EDUP;20187;;Daily International ECOM AMT SIGN;1;;1
L2EDUP;20187;;Daily International ECOM AMT;17;;1
L2EDUP;20187;;Daily International ECOM NBR SIGN;1;;1
L2EDUP;20187;;Daily International ECOM NBR;9;;1
L2EDUP;20187;;CTD International ECOM AMT SIGN;1;;1
L2EDUP;20187;;CTD International ECOM AMT;17;;1
L2EDUP;20187;;CTD International ECOM NBR SIGN;1;;1
L2EDUP;20187;;CTD International ECOM NBR;9;;1
L2EDUP;20187;;Daily International MOTO AMT SIGN;1;;1
L2EDUP;20187;;Daily International MOTO AMT;17;;1
L2EDUP;20187;;Daily International MOTO NBR SIGN;1;;1
L2EDUP;20187;;Daily International MOTO NBR;9;;1
L2EDUP;20187;;CTD International MOTO AMT SIGN;1;;1
L2EDUP;20187;;CTD International MOTO AMT;17;;1
L2EDUP;20187;;CTD International MOTO NBR SIGN;1;;1
L2EDUP;20187;;CTD International MOTO NBR;9;;1
L2EDUP;20187;;Daily International ATM AMT SIGN;1;;1
L2EDUP;20187;;Daily International ATM AMT;17;;1
L2EDUP;20187;;Daily International ATM NBR SIGN;1;;1
L2EDUP;20187;;Daily International ATM NBR;9;;1
L2EDUP;20187;;Daily International Contactless AMT SIGN;1;;1
L2EDUP;20187;;Daily International Contactless AMT;17;;1
L2EDUP;20187;;Daily International Contactless NBR SIGN;1;;1
L2EDUP;20187;;Daily International Contactless NBR;9;;1
L2EDUP;20187;;CTD International Contactless AMT SIGN;1;;1
L2EDUP;20187;;CTD International Contactless AMT;17;;1
L2EDUP;20187;;CTD International Contactless NBR SIGN;1;;1
L2EDUP;20187;;CTD International Contactless NBR;9;;1
L2EDUP;20187;;Daily International POS AMT SIGN;1;;1
L2EDUP;20187;;Daily International POS AMT;17;;1
L2EDUP;20187;;Daily International POS NBR SIGN;1;;1
L2EDUP;20187;;Daily International POS NBR;9;;1
L2EDUP;20187;;CTD International POS AMT SIGN;1;;1
L2EDUP;20187;;CTD International POS AMT;17;;1
L2EDUP;20187;;CTD International POS NBR SIGN;1;;1
L2EDUP;20187;;CTD International POS NBR;9;;1
L2EDUP;20187;;CTD Domestic ATM AMT SIGN;1;;1
L2EDUP;20187;;CTD Domestic ATM AMT;17;;1
L2EDUP;20187;;CTD Domestic ATM NBR SIGN;1;;1
L2EDUP;20187;;CTD Domestic ATM NBR;9;;1
L2EDUP;20187;;CTD International ATM AMT SIGN;1;;1
L2EDUP;20187;;CTD International ATM AMT;17;;1
L2EDUP;20187;;CTD International ATM NBR SIGN;1;;1
L2EDUP;20187;;CTD International ATM NBR;9;;1
L2EDUP;20187;;Single Transaction limit – POS International Amt SIGN;1;;1
L2EDUP;20187;;Single Transaction limit – POS International;17;;1
L2EDUP;20187;;Single Transaction limit – ECOMM International Amt SIGN;1;;1
L2EDUP;20187;;Single Transaction limit – ECOMM International;17;;1
L2EDUP;20187;;Single Transaction limit – Retail International Amt SIGN;1;;1
L2EDUP;20187;;Single Transaction limit – Retail International;17;;1
L2EDUP;20187;;Single Transaction limit – MOTO Domestic Amt SIGN;1;;1
L2EDUP;20187;;Single Transaction limit – MOTO Domestic;17;;1
L2EDUP;20187;;Single Transaction limit – MOTO International Amt SIGN;1;;1
L2EDUP;20187;;Single Transaction limit – MOTO International;17;;1
L2EDUP;20187;;Single Transaction limit –  Contactless Domestic Amt SIGN;1;;1
L2EDUP;20187;;Single Transaction limit –  Contactless Domestic;17;;1
L2EDUP;20187;;"Single Transaction limit –  Contactless International Amt SIGN	";1;;1
L2EDUP;20187;;Single Transaction limit –  Contactless International;17;;1
L2EDUP;20187;;Blacklist Flag;1;;2
L2EDUP;20187;;Blacklist Maint Date;8;;1
L2EDUP;20187;;COMP-DEACTV-DATE;8;;1
L2EDUP;20187;;CBP ALERT;1;;2
L2EDUP;20187;;Filler ;393;;1
G2PT;20143;40143;Organisation;3;;6
G2PT;20143;40143;Account Number;19;;9
G2PT;20143;40143;Record Number;8;;2
G2PT;20143;40143;Scheme ;5;;1
G2PT;20143;40143;Transaction Code ;3;;1
G2PT;20143;40143;Type;1;;2
G2PT;20143;40143;Amount;17;;1
G2PT;20143;40143;Points;13;;1
G2PT;20143;40143;Batch Date;8;;1
G2PT;20143;40143;Posting Date;8;;1
G2PT;20143;40143;Store Organisation;3;;1
G2PT;20143;40143;LMS Organisation;3;;1
G2PT;20143;40143;Store Number;9;;2
G2PT;20143;40143;Posting Flag;2;Campo duplicado;2
G2PT;20143;40143;Card Number;19;;5
G2PT;20143;40143;User Merchant Description ;43;;1
G2PT;20143;40143;Posting Flag;1;Campo duplicado;2
G2PT;20143;40143;Original Operator;3;;1
G2PT;20143;40143;Last Operator ;3;;1
G2PT;20143;40143;Merchant Store;9;;1
G2PT;20143;40143;CMS Organisation;3;;1
G2PT;20143;40143;CMS Account Number ;19;;1
G2PT;20143;40143;Effective Date;8;;1
G2PT;20143;40143;Actual Value;17;;1
G2PT;20143;40143;Redemption Channel;4;;1
G2PT;20143;40143;Program Unit ;1;;1
G2PT;20143;40143;Trace Number;6;;1
G2PT;20143;40143;Earn Rate or Value;9;;1
G2PT;20143;40143;Extract Date;8;;3
G2PT;20143;40143;Group Code;5;;1
G2PT;20143;40143;Description;40;;1
G2PT;20143;40143;Category Code;5;;1
